id,monthly_airbnb_revenue,yearly_airbnb_revenue,total_reservation_days
8.05863E+17,4.083333333,49,1
1.03293E+18,893.4166667,10721,151
42220146,1534.5,18414,186
2999527,11850,142200,237
10350976,507.5,6090,58
6.13046E+17,0,0,0
47276861,44.08333333,529,1
8.68173E+17,76.5,918,18
9.74059E+17,1833.333333,22000,275
25235760,14.33333333,172,4
9.39431E+17,1287.5,15450,103
24784400,0,0,0
1.08194E+18,0,0,0
54131340,1411.666667,16940,121
8.18879E+17,5.416666667,65,1
53357250,25,300,3
7.73215E+17,0,0,0
1.13859E+18,2370.666667,28448,127
1.05151E+18,7030.333333,84364,262
7.66041E+17,3771.666667,45260,310
9.82788E+17,2211.333333,26536,214
1826701,130,1560,24
33937466,16.66666667,200,2
9.75924E+17,1496,17952,96
6.32632E+17,0,0,0
8190747,0,0,0
4668244,0,0,0
1.09012E+18,400,4800,96
1.20443E+18,104,1248,26
45988097,5894.583333,70735,215
21881709,2903.25,34839,237
6.54545E+17,0,0,0
9.73354E+17,416,4992,96
8.37867E+17,3437.5,41250,275
9.47507E+17,682.5,8190,117
1.1644E+18,266.75,3201,97
8.28902E+17,408.3333333,4900,98
7.15501E+17,0,0,0
6.27075E+17,0,0,0
9.48455E+17,5.416666667,65,1
32670456,1362.833333,16354,221
1.11294E+18,3183.166667,38198,269
16962471,22.83333333,274,2
8.69486E+17,1782.5,21390,186
1.22099E+18,2277,27324,276
1.2136E+18,2903.25,34839,237
23005685,2903.25,34839,237
22328208,2903.25,34839,237
7.35551E+17,0,0,0
22338613,2903.25,34839,237
23597323,2903.25,34839,237
23103116,2903.25,34839,237
22436168,2903.25,34839,237
4768030,2903.25,34839,237
22011311,2903.25,34839,237
4814075,2903.25,34839,237
22017804,2903.25,34839,237
22208315,2903.25,34839,237
22504678,2903.25,34839,237
4612401,2903.25,34839,237
1.08056E+18,3450,41400,276
1.0207E+18,1955,23460,276
21539835,2903.25,34839,237
21868813,2903.25,34839,237
21924815,2903.25,34839,237
22651614,2903.25,34839,237
22337162,2903.25,34839,237
22341716,1580.25,18963,129
22360657,2903.25,34839,237
23647298,2903.25,34839,237
22436899,2903.25,34839,237
3836180,2903.25,34839,237
4907749,2903.25,34839,237
9.60875E+17,1400,16800,96
27958130,2903.25,34839,237
25492095,2903.25,34839,237
29898471,2903.25,34839,237
26524625,2903.25,34839,237
25834425,2903.25,34839,237
46679248,2903.25,34839,237
2216470,2903.25,34839,237
1.21034E+18,12.25,147,1
23484328,2903.25,34839,237
21943047,2903.25,34839,237
21950012,2903.25,34839,237
22781825,2903.25,34839,237
22392030,2903.25,34839,237
22862864,2903.25,34839,237
23275013,2903.25,34839,237
29125444,2903.25,34839,237
8.8653E+17,0,0,0
27965802,2903.25,34839,237
29338253,2903.25,34839,237
26744053,2903.25,34839,237
25870448,2903.25,34839,237
30101694,2903.25,34839,237
26867170,2903.25,34839,237
24799677,2903.25,34839,237
29628681,2903.25,34839,237
27301758,2903.25,34839,237
7.10386E+17,0,0,0
27528935,2903.25,34839,237
28979690,2903.25,34839,237
26362898,2903.25,34839,237
29922930,2903.25,34839,237
28223260,2903.25,34839,237
26604019,2903.25,34839,237
29414633,2903.25,34839,237
25719757,2903.25,34839,237
29923634,24.5,294,2
29539252,2903.25,34839,237
1.0139E+18,1741.666667,20900,275
27334148,2903.25,34839,237
24919398,2903.25,34839,237
28760750,2903.25,34839,237
29740134,2903.25,34839,237
29760740,2903.25,34839,237
28992518,2903.25,34839,237
25082817,2278.5,27342,186
26228457,4348.75,52185,355
31209182,2903.25,34839,237
26839660,2290.75,27489,187
26892245,2903.25,34839,237
29565064,2903.25,34839,237
25943635,2903.25,34839,237
27398972,2903.25,34839,237
26038936,2903.25,34839,237
27437662,2903.25,34839,237
28784319,2903.25,34839,237
27609132,2903.25,34839,237
25029794,2903.25,34839,237
29686576,2903.25,34839,237
27759146,2903.25,34839,237
30823647,2903.25,34839,237
31172569,2903.25,34839,237
31518329,2903.25,34839,237
34053516,2903.25,34839,237
31894643,2903.25,34839,237
34056679,2903.25,34839,237
30393427,2903.25,34839,237
37467145,2903.25,34839,237
39631364,2903.25,34839,237
42096541,2903.25,34839,237
37940346,2903.25,34839,237
40008777,2903.25,34839,237
40965070,2903.25,34839,237
41010459,2903.25,34839,237
36413532,2903.25,34839,237
31332746,2903.25,34839,237
35196872,2903.25,34839,237
31420503,2903.25,34839,237
30120427,2903.25,34839,237
30322497,2903.25,34839,237
31847270,2903.25,34839,237
39424633,2903.25,34839,237
37718522,2903.25,34839,237
42038789,2903.25,34839,237
42054081,2903.25,34839,237
42115999,2903.25,34839,237
39953432,2903.25,34839,237
36204465,2903.25,34839,237
40181084,2903.25,34839,237
29800927,2903.25,34839,237
27746387,2903.25,34839,237
30768969,2903.25,34839,237
33970585,2903.25,34839,237
30352862,2903.25,34839,237
34051381,2903.25,34839,237
34251664,2903.25,34839,237
40708764,2903.25,34839,237
42883053,2903.25,34839,237
39633723,2903.25,34839,237
39937438,2903.25,34839,237
40056966,2903.25,34839,237
42194646,1163.75,13965,95
43422411,2903.25,34839,237
38105387,2903.25,34839,237
41036391,2903.25,34839,237
38456813,2903.25,34839,237
36602945,2903.25,34839,237
41348519,2903.25,34839,237
38984304,2903.25,34839,237
40624423,2903.25,34839,237
50486817,2903.25,34839,237
48381141,2903.25,34839,237
52553481,2903.25,34839,237
50873649,2903.25,34839,237
50922065,2903.25,34839,237
46687219,2903.25,34839,237
49030864,2903.25,34839,237
51227326,4459,53508,364
52757238,2903.25,34839,237
41048204,2903.25,34839,237
40233539,2903.25,34839,237
41091413,2903.25,34839,237
41112420,2903.25,34839,237
38584735,2903.25,34839,237
41352511,2903.25,34839,237
41664099,2903.25,34839,237
42774089,2903.25,34839,237
46180394,2903.25,34839,237
50519901,2903.25,34839,237
52553466,2903.25,34839,237
52583253,2903.25,34839,237
48773575,2903.25,34839,237
48913889,2903.25,34839,237
43977634,2903.25,34839,237
44063431,2903.25,34839,237
29800915,919.4166667,11033,187
42381143,2903.25,34839,237
40419375,2903.25,34839,237
40513927,2903.25,34839,237
37184442,2903.25,34839,237
48298348,2903.25,34839,237
52553202,2903.25,34839,237
52553524,2903.25,34839,237
43637634,2903.25,34839,237
43699905,2903.25,34839,237
43822047,2903.25,34839,237
46687986,2903.25,34839,237
51214015,2903.25,34839,237
49176281,2903.25,34839,237
51454608,2903.25,34839,237
49465882,2903.25,34839,237
53366287,2903.25,34839,237
45087157,2903.25,34839,237
45079976,2903.25,34839,237
45290301,2903.25,34839,237
49898771,2903.25,34839,237
47469926,2903.25,34839,237
52244717,2903.25,34839,237
50289003,2903.25,34839,237
46005473,2903.25,34839,237
5.56638E+17,97.5,1170,26
51278279,2903.25,34839,237
44463474,2903.25,34839,237
49540622,2903.25,34839,237
44677711,2903.25,34839,237
47232956,2903.25,34839,237
1.04794E+18,427.5,5130,95
51903949,2903.25,34839,237
50230422,2903.25,34839,237
5.72327E+17,1675,20100,50
48081712,2903.25,34839,237
48127867,3283,39396,268
52438125,0,0,0
8.03651E+17,2903.25,34839,237
15476794,0,0,0
39411592,1096.666667,13160,188
53916899,330.75,3969,27
8.10939E+17,2535.75,30429,207
7.61036E+17,2903.25,34839,237
44058636,2903.25,34839,237
44376319,2903.25,34839,237
49441328,2903.25,34839,237
53370561,2903.25,34839,237
44867899,2903.25,34839,237
1.16731E+18,1152,13824,96
47370088,2903.25,34839,237
45485378,2903.25,34839,237
50052647,2903.25,34839,237
45673206,2903.25,34839,237
45842595,4238.5,50862,346
45891693,2903.25,34839,237
52397728,2903.25,34839,237
7.77573E+17,0,0,0
8.16694E+17,2903.25,34839,237
7.88537E+17,2903.25,34839,237
5.42971E+17,2903.25,34839,237
53343701,41.66666667,500,1
7.20248E+17,2903.25,34839,237
5.70245E+17,0,0,0
5.6429E+17,2903.25,34839,237
1.09996E+18,3136,37632,256
54694,2903.25,34839,237
8.02688E+17,3381,40572,276
5.97138E+17,2903.25,34839,237
8.08441E+17,686,8232,56
7.81376E+17,0,0,0
7.24518E+17,0,0,0
9.6883E+17,2240,26880,96
8.13701E+17,2903.25,34839,237
7.63925E+17,2903.25,34839,237
6.43339E+17,2903.25,34839,237
7.517E+17,560,6720,96
6.54726E+17,12.25,147,1
7.70566E+17,0,0,0
7.37077E+17,0,0,0
587519,2903.25,34839,237
71384,2903.25,34839,237
8.55858E+17,0,0,0
8.6673E+17,2903.25,34839,237
228925,2903.25,34839,237
9.50723E+17,551.25,6615,45
1.14655E+18,2454.166667,29450,155
1.0786E+18,1176,14112,96
54057539,0,0,0
5.48999E+17,0,0,0
43530040,1518,18216,276
6.55277E+17,2903.25,34839,237
5.64251E+17,2903.25,34839,237
1.08995E+18,1176,14112,96
8.38047E+17,0,0,0
8.42313E+17,2903.25,34839,237
8.62322E+17,0,0,0
231154,2903.25,34839,237
250537,0,0,0
1.04514E+18,2903.25,34839,237
1.06324E+18,4459,53508,364
1.11315E+18,3662.75,43953,299
4422017,2903.25,34839,237
2329047,2903.25,34839,237
4447611,2903.25,34839,237
2521670,2903.25,34839,237
5277117,2903.25,34839,237
987616,2903.25,34839,237
89427,85.75,1029,7
9.25972E+17,2903.25,34839,237
892463,2903.25,34839,237
9.52785E+17,2903.25,34839,237
1.0655E+18,2903.25,34839,237
9.6334E+17,3381,40572,276
2271504,2903.25,34839,237
4756125,2903.25,34839,237
3703037,2903.25,34839,237
2392814,2903.25,34839,237
4479556,2903.25,34839,237
2636396,2903.25,34839,237
3122230,2903.25,34839,237
35496842,192.5,2310,33
1589248,2903.25,34839,237
3368427,2903.25,34839,237
1717215,2903.25,34839,237
4853287,2903.25,34839,237
4611256,2903.25,34839,237
4144630,2903.25,34839,237
2043329,2903.25,34839,237
4392066,2903.25,34839,237
2294594,2903.25,34839,237
2310008,2903.25,34839,237
3780746,2903.25,34839,237
2532068,2903.25,34839,237
2788298,2903.25,34839,237
1215836,2903.25,34839,237
4540852,2903.25,34839,237
4846877,2903.25,34839,237
1876969,2903.25,34839,237
4128450,2903.25,34839,237
4629726,2903.25,34839,237
4172633,2903.25,34839,237
4663807,2903.25,34839,237
4263488,2903.25,34839,237
4686678,2903.25,34839,237
4707159,2903.25,34839,237
4350406,2903.25,34839,237
4720558,2903.25,34839,237
7.26038E+17,1672.916667,20075,275
8.39234E+17,0,0,0
1.00097E+18,457.5,5490,122
5729530,2903.25,34839,237
2904571,2903.25,34839,237
4803623,2903.25,34839,237
4006264,2903.25,34839,237
3378585,2903.25,34839,237
1788989,2903.25,34839,237
1886240,2903.25,34839,237
4619579,2903.25,34839,237
2003807,2903.25,34839,237
2055467,2903.25,34839,237
4227018,2903.25,34839,237
2116940,2903.25,34839,237
2243769,2903.25,34839,237
8.9126E+17,12,144,2
21818110,964,11568,241
9.21732E+17,0,0,0
7010135,2903.25,34839,237
48738829,2903.25,34839,237
3533741,2903.25,34839,237
24582124,2903.25,34839,237
54263674,1691.666667,20300,203
7.36217E+17,1974,23688,282
4243533,2903.25,34839,237
3629580,2903.25,34839,237
2204672,2903.25,34839,237
9.58972E+17,825.9166667,9911,187
9.02225E+17,0,0,0
9.06709E+17,2406.25,28875,275
7646092,2903.25,34839,237
10001022,2903.25,34839,237
6359266,2903.25,34839,237
37557533,0,0,0
40538599,2903.25,34839,237
4054332,2903.25,34839,237
50620816,2903.25,34839,237
9.37881E+17,1575.416667,18905,95
37262517,3053.333333,36640,229
5.83325E+17,99.66666667,1196,26
7.14525E+17,0,0,0
53358037,0,0,0
8.36467E+17,107.9166667,1295,7
8.20166E+17,937.5,11250,125
5.52782E+17,866.6666667,10400,208
7.81954E+17,4410,52920,360
10412006,2903.25,34839,237
48194167,2903.25,34839,237
27361805,2903.25,34839,237
31383493,2903.25,34839,237
1.22465E+18,397.9166667,4775,25
1.09785E+18,717.25,8607,151
5.95026E+17,784,9408,96
8.20361E+17,980.5,11766,74
7.6599E+17,0,0,0
39340734,1175,14100,188
5.98713E+17,170,2040,17
7740527,2903.25,34839,237
18039329,2903.25,34839,237
8.15196E+17,1765.416667,21185,95
36698970,2158.333333,25900,185
1.20804E+18,0,0,0
1.04651E+18,368,4416,96
8.88237E+17,963.6666667,11564,118
1.13762E+18,520,6240,130
14215652,1320,15840,88
10824871,870,10440,87
1.12109E+18,2158.333333,25900,148
10656360,2903.25,34839,237
6982967,2903.25,34839,237
11700121,2903.25,34839,237
15801194,2903.25,34839,237
8.03151E+17,6.583333333,79,1
46671693,342,4104,57
9821183,2903.25,34839,237
6.49219E+17,474.8333333,5698,154
